,station,weight,latitude,longitude,elevation,label
209,ASN00098017,18.0,-39.88,143.8831,37.0,3123.0
20503,ASN00099001,14.0,-39.4764,147.3153,85.0,5467.0
23735,ASN00085096,56.0,-39.1297,146.4244,95.0,9342.0
6901,ASN00085082,2.0,-39.031,146.3227,15.2,9342.0
4285,NZ000933090,62.0,-39.017,174.183,32.0,5467.0
5,AR000087715,48.0,-38.95,-68.133,273.0,5654.0
6913,ASN00090015,148.0,-38.8556,143.5128,82.0,3123.0
769,CI000085743,15.0,-38.75,-72.633,114.0,5654.0
23580,AR000877500,47.0,-38.733,-62.167,75.0,5579.0
21240,NZ000093292,51.0,-38.65,177.983,5.0,5467.0
10384,ASN00090083,30.0,-38.6357,143.5127,492.0,3123.0
23741,ASN00086127,45.0,-38.6078,145.5965,51.9,9342.0
3496,ASN00090148,16.0,-38.5333,143.9833,4.0,3123.0
13754,ASN00090134,17.0,-38.5304,143.539,89.0,3123.0
185,ASN00085235,3.0,-38.5269,146.2581,365.8,9342.0
17111,ASN00085227,9.0,-38.5215,146.2041,263.0,9342.0
6914,ASN00090040,11.0,-38.5198,143.715,203.0,3123.0
10375,ASN00086354,11.0,-38.5058,145.1503,7.0,3123.0
23738,ASN00086017,26.0,-38.4931,144.8858,79.3,3123.0
17109,ASN00085106,33.0,-38.4861,146.3233,182.9,9342.0
20469,ASN00085152,9.0,-38.4856,146.6717,93.0,9342.0
13745,ASN00085275,1.0,-38.4833,146.9333,34.0,9342.0
20473,ASN00086373,22.0,-38.4612,145.3101,13.4,9342.0
17125,ASN00090180,22.0,-38.4583,144.0883,95.0,3123.0
10383,ASN00090014,42.0,-38.4319,141.5419,45.0,3715.0
3499,ASN00090184,17.0,-38.4306,141.5437,45.4,3715.0
23742,ASN00086240,5.0,-38.4,145.3,24.0,9342.0
198,ASN00090174,16.0,-38.3933,143.5961,248.1,3123.0
23753,ASN00090175,22.0,-38.3906,142.2347,10.0,3123.0
13753,ASN00090082,26.0,-38.3836,142.4814,21.0,3123.0
13748,ASN00086306,10.0,-38.3833,145.2167,2.0,3123.0
3497,ASN00090162,8.0,-38.3833,141.6333,38.0,3123.0
23743,ASN00086361,22.0,-38.3646,145.1785,12.7,3123.0
6917,ASN00090147,25.0,-38.3427,143.5848,134.0,3123.0
23739,ASN00086097,12.0,-38.3167,144.6667,6.1,3123.0
10386,ASN00090171,31.0,-38.3148,141.4705,80.9,3715.0
6909,ASN00086344,3.0,-38.3078,144.8003,5.0,3123.0
17116,ASN00087100,21.0,-38.2939,144.6142,12.2,3123.0
184,ASN00085150,2.0,-38.2933,146.3883,85.0,9342.0
6919,ASN00090172,17.0,-38.2919,142.4353,75.0,3123.0
23754,ASN00090186,14.0,-38.2867,142.4522,70.8,3123.0
20483,ASN00090022,2.0,-38.2798,143.6613,122.0,3123.0
23747,ASN00087054,10.0,-38.2714,144.6621,15.0,3123.0
20470,ASN00085240,15.0,-38.2456,145.9347,167.0,9342.0
20485,ASN00090077,10.0,-38.2362,142.9166,131.0,3123.0
10373,ASN00086079,13.0,-38.2358,145.0667,46.0,3123.0
13752,ASN00090035,12.0,-38.2333,143.7925,261.0,3123.0
20482,ASN00090011,10.0,-38.2331,143.145,165.0,3123.0
192,ASN00087163,22.0,-38.2241,144.3345,33.4,3123.0
6904,ASN00085280,29.0,-38.2094,146.4747,55.7,9342.0
10374,ASN00086082,9.0,-38.2,145.1,106.7,3123.0
183,ASN00085103,30.0,-38.1858,146.3317,153.6,9342.0
189,ASN00086368,3.0,-38.18,145.4317,3.0,9342.0
6902,ASN00085093,16.0,-38.1731,145.9487,143.0,9342.0
23740,ASN00086116,18.0,-38.1667,145.4,3.0,9342.0
17115,ASN00087023,3.0,-38.1587,144.3954,4.0,3123.0
190,ASN00086371,21.0,-38.1481,145.1156,6.0,3123.0
6915,ASN00090048,34.0,-38.1355,141.6316,26.8,3715.0
13750,ASN00086375,23.0,-38.1348,145.2637,85.0,3123.0
20475,ASN00087080,1.0,-38.1333,144.4167,8.0,3123.0
10376,ASN00087025,6.0,-38.1167,144.3667,17.1,3123.0
6908,ASN00086245,7.0,-38.1167,145.1797,30.0,3123.0
3487,ASN00085072,67.0,-38.1156,147.1322,4.6,9342.0
10369,ASN00085298,10.0,-38.1072,147.1317,4.6,9342.0
10368,ASN00085199,14.0,-38.0992,146.3792,190.0,9342.0
17117,ASN00087166,14.0,-38.0958,144.5361,18.0,3123.0
23749,ASN00087117,26.0,-38.085,144.3356,54.9,3123.0
23737,ASN00085283,11.0,-38.0808,146.2139,161.0,9342.0
20486,ASN00090176,22.0,-38.0737,142.7744,130.0,3123.0
20376,ASN00026005,48.0,-38.0573,140.6725,5.0,3715.0
3488,ASN00086147,17.0,-38.0333,145.1,5.0,3123.0
10378,ASN00087113,18.0,-38.0287,144.4783,10.6,3123.0
17114,ASN00086077,41.0,-37.98,145.0964,12.1,3123.0
3489,ASN00086224,10.0,-37.9785,145.2235,54.0,3123.0
182,ASN00085026,11.0,-37.9743,146.3735,445.0,9342.0
13744,ASN00085055,8.0,-37.9664,146.9831,27.0,9342.0
3495,ASN00089018,33.0,-37.9543,143.3437,178.0,3123.0
13563,AR000087692,46.0,-37.933,-57.583,22.0,5579.0
17113,ASN00086033,3.0,-37.9252,145.0254,33.0,3123.0
10379,ASN00087168,22.0,-37.9075,144.1303,236.7,3123.0
6903,ASN00085277,30.0,-37.9039,145.9719,275.0,9342.0
17110,ASN00085153,11.0,-37.9,146.0,243.8,9342.0
23748,ASN00087065,16.0,-37.9,144.6833,24.0,3123.0
23736,ASN00085269,3.0,-37.8833,146.0167,261.0,9342.0
186,ASN00085279,32.0,-37.8817,147.5669,49.4,5467.0
23752,ASN00089092,3.0,-37.8779,143.9023,263.0,3123.0
23744,ASN00086372,21.0,-37.8775,145.3364,561.0,9342.0
23734,ASN00084150,2.0,-37.8717,148.006,4.0,5467.0
188,ASN00086104,46.0,-37.871,145.2561,80.0,3123.0
181,ASN00084083,40.0,-37.8692,147.9961,43.0,5467.0
17118,ASN00087177,2.0,-37.8633,144.7456,-999.9,3123.0
6907,ASN00086094,14.0,-37.8631,145.7428,189.1,9342.0
191,ASN00087031,69.0,-37.8565,144.7566,20.1,3123.0
17124,ASN00090092,11.0,-37.8408,140.9717,70.0,3715.0
6905,ASN00085291,14.0,-37.8383,146.2747,1561.0,9342.0
17011,ASN00026020,44.0,-37.8333,140.7833,65.0,3715.0
17123,ASN00089094,10.0,-37.8333,143.8833,311.0,3123.0
6898,ASN00084108,12.0,-37.8333,147.65,5.0,5467.0
13747,ASN00086243,19.0,-37.8306,145.35,600.0,9342.0
6916,ASN00090103,35.0,-37.825,142.0644,200.0,3123.0
23746,ASN00087021,36.0,-37.8233,144.2078,365.8,3123.0
10366,ASN00084080,13.0,-37.8167,147.6167,14.0,5467.0
10370,ASN00086060,8.0,-37.8167,145.0333,59.7,3123.0
10372,ASN00086071,158.0,-37.8075,144.97,31.2,3123.0
6897,ASN00084070,47.0,-37.8017,149.2747,27.0,5467.0
17747,FS000061996,10.0,-37.8,77.5,29.0,8316.0
6900,ASN00085079,6.0,-37.8,146.2,838.2,9342.0
3492,ASN00087038,1.0,-37.775,144.8767,20.0,3123.0
17112,ASN00085296,19.0,-37.7481,147.1428,480.0,9342.0
13642,ASN00026021,71.0,-37.7473,140.7739,63.0,3715.0
10371,ASN00086068,13.0,-37.7408,145.0972,66.1,3123.0
20484,ASN00090044,24.0,-37.7333,142.0167,209.0,3123.0
17108,ASN00084028,4.0,-37.7279,148.0958,30.0,5467.0
187,ASN00086038,43.0,-37.7276,144.9066,78.4,3123.0
23745,ASN00086383,18.0,-37.7239,145.4094,83.0,9342.0
6918,ASN00090169,1.0,-37.7167,141.9667,174.0,3123.0
20472,ASN00086351,33.0,-37.7163,145.0453,83.0,3123.0
20481,ASN00089112,7.0,-37.7067,142.9378,226.0,3123.0
13746,ASN00086122,9.0,-37.7,145.0833,103.6,3123.0
13743,ASN00085000,5.0,-37.7,146.3667,1060.0,9342.0
6899,ASN00084144,17.0,-37.6924,148.0908,350.0,5467.0
3486,ASN00084145,12.0,-37.6922,148.4667,62.7,5467.0
20468,ASN00084030,55.0,-37.6917,148.4589,41.0,5467.0
6906,ASN00086050,4.0,-37.6833,145.5333,131.1,9342.0
20474,ASN00086384,2.0,-37.675,144.8419,-999.9,3123.0
3490,ASN00086282,43.0,-37.6655,144.8321,113.4,3123.0
13749,ASN00086364,7.0,-37.6594,145.4457,100.0,9342.0
3498,ASN00090173,30.0,-37.6486,142.0636,241.1,3123.0
3491,ASN00087005,12.0,-37.6,144.2,442.0,3123.0
